id;placed_date;status;code;invoice_id;customer_id
1;2020-05-14T03:17:50;COMPLETED;Georgia calculate withdrawal;88795;1
2;2020-05-14T02:54:35;CANCELLED;background Incredible Soft Bacon withdrawal;68518;2
3;2020-05-13T12:11:43;COMPLETED;real-time;88753;3
4;2020-05-13T20:15:52;COMPLETED;Square Regional;82542;4
5;2020-05-14T02:07:00;PENDING;maroon Decentralized Bike;98183;5
6;2020-05-13T18:30:42;COMPLETED;program;52549;6
7;2020-05-14T08:46:37;COMPLETED;target;30578;7
8;2020-05-14T06:54:43;CANCELLED;input;43284;8
9;2020-05-14T07:20:45;CANCELLED;multi-byte Croatian Kuna RAM;99134;9
10;2020-05-14T08:25:50;COMPLETED;National lavender;4674;10
